time,open,high,low,close,tick_volume,spread,real_volume
2024-01-15 18:00:00,2053.26,2054.95,2053.24,2054.04,2222,5,0
2024-01-15 19:00:00,2054.03,2056.35,2053.61,2055.41,1543,5,0
2024-01-15 20:00:00,2055.46,2055.46,2054.33,2054.42,441,5,0
2024-01-15 21:00:00,2054.42,2054.97,2053.66,2054.85,300,5,0
2024-01-16 01:00:00,2054.63,2055.62,2053.4,2054.02,1816,3,0
2024-01-16 02:00:00,2054.02,2054.51,2050.8,2051.44,2252,2,0
2024-01-16 03:00:00,2051.45,2053.31,2050.02,2050.89,3881,1,0
2024-01-16 04:00:00,2050.9,2051.52,2049.76,2050.64,2526,5,0
2024-01-16 05:00:00,2050.64,2051.69,2048.42,2049.55,2553,5,0
2024-01-16 06:00:00,2049.55,2050.05,2048.99,2049.45,1467,5,0
2024-01-16 07:00:00,2049.48,2049.52,2047.56,2048.66,2411,1,0
2024-01-16 08:00:00,2048.62,2050.57,2047.36,2050.47,2353,7,0
2024-01-16 09:00:00,2050.46,2050.92,2048.12,2049.47,3304,5,0
2024-01-16 10:00:00,2049.46,2050.15,2042.18,2043.12,5274,5,0
2024-01-16 11:00:00,2043.1,2043.9,2038.71,2041.28,4892,5,0
2024-01-16 12:00:00,2041.26,2042.44,2039.28,2040.96,3844,5,0
2024-01-16 13:00:00,2041.01,2041.12,2038.29,2039.91,3513,5,0
2024-01-16 14:00:00,2039.87,2040.04,2035.64,2038.5,4202,0,0
2024-01-16 15:00:00,2038.5,2044.91,2031.41,2037.64,8062,0,0
2024-01-16 16:00:00,2037.61,2042.56,2036.97,2038.24,7436,5,0
2024-01-16 17:00:00,2038.26,2042.04,2037.41,2041.18,6437,5,0
2024-01-16 18:00:00,2041.18,2041.33,2032.54,2033.47,8802,5,0
2024-01-16 19:00:00,2033.46,2033.77,2024.98,2025.32,6219,5,0
2024-01-16 20:00:00,2025.32,2028.93,2024.28,2025.15,4632,5,0
2024-01-16 21:00:00,2025.24,2030.18,2025.0,2029.31,2970,5,0
2024-01-16 22:00:00,2029.33,2029.81,2027.85,2028.28,2428,5,0
2024-01-16 23:00:00,2028.31,2028.52,2027.2,2028.22,1043,5,0
2024-01-17 01:00:00,2028.23,2028.35,2025.96,2028.15,1707,0,0
2024-01-17 02:00:00,2028.2,2028.89,2025.66,2028.48,2317,5,0
2024-01-17 03:00:00,2028.49,2030.83,2026.71,2030.3,3755,5,0
2024-01-17 04:00:00,2030.29,2032.96,2027.01,2028.92,3469,4,0
2024-01-17 05:00:00,2028.91,2029.13,2023.46,2024.09,2977,0,0
2024-01-17 06:00:00,2024.04,2025.88,2023.37,2025.47,2012,0,0
2024-01-17 07:00:00,2025.47,2025.51,2019.36,2020.68,3689,5,0
2024-01-17 08:00:00,2020.68,2020.8,2017.66,2019.26,4047,7,0
2024-01-17 09:00:00,2019.31,2026.18,2017.9,2025.82,4938,5,0
2024-01-17 10:00:00,2025.78,2026.6,2021.3,2021.5,3762,5,0
2024-01-17 11:00:00,2021.46,2024.27,2019.05,2023.92,3588,0,0
2024-01-17 12:00:00,2023.69,2028.34,2022.82,2026.1,3463,5,0
